iter	Passed	Remaining
0	1	100
1	1	97
2	2	95
3	3	89
4	4	86
5	5	85
6	6	84
7	7	82
8	8	81
9	8	80
10	9	79
11	10	78
12	11	77
13	12	76
14	13	74
15	14	74
16	15	73
17	15	72
18	16	71
19	17	69
20	18	68
21	18	67
22	19	65
23	20	64
24	21	64
25	22	63
26	23	63
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	30	58
34	31	57
35	32	56
36	33	56
37	34	55
38	35	55
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
